onset	duration	trial_type	stim_file	response_logged	response	response_time
20.00400736462325	447.34879068890586	Movie	Lemonade.mp4			
502.4273560894653	181.89496427495035	FreeResp				
690.3476097346283	15.132302291225642	the_machine_FreeResp	LemonadeCh.txt			
720.5224568350241	11.79026360064745	Question1	Lemonade.txt	1.0	A	2.7096021473407745
732.3129031904973	11.866138332989069	Question2	Lemonade.txt	1.0	C	7.829667475540191
744.1792328860611	11.83308519097045	Question3	Lemonade.txt	1.0	B	5.784200575202704
756.0124862641096	11.491238856688142	Question4	Lemonade.txt	1.0	A	5.43953974917531
782.6549147325568	10.02366377878934	the_machine_Rating	LemonadeCh.txt	1.0	5	5.616406091954559
792.679556183517	10.023848851211367	the_machine_ID	LemonadeCh.txt	1.0	2	7.658043086063117
827.9551088432781	10.03095477167517	happy_Rating	Lemonade.txt	1.0	4	2.916393610648811
848.0124611025676	10.02293408336118	surprised_Rating	Lemonade.txt	1.0	5	2.5248187435790896
858.0363801419735	10.01539047807455	angry_Rating	Lemonade.txt	1.0	2	2.799783740192652
837.9884265167639	10.022158699575812	tense_Rating	Lemonade.txt	1.0	5	3.5579023445025086
817.9286193163134	10.024195158388466	sad_Rating	Lemonade.txt	1.0	1	6.141674107406288
868.0535634057596	10.039800505619496	frustrated_Rating	Lemonade.txt	1.0	2	5.6342561463825405
878.0955473692156	20.1223745951429	Arousal_Rating	Lemonade.txt	1.0	5	6.907985892146826
898.2198720118031	20.072600042447448	Valence_Rating	Lemonade.txt	1.0	4	6.7912257122807205
918.2943512513302	10.014470082242042	Engagement_Rating	Lemonade.txt	1.0	6	4.182865139562637
