onset	duration	trial_type	stim_file	response_logged	response	response_time
20.01721372292377	447.3467889933381	Movie	Lemonade.mp4			
502.4383458828088	181.86199125368148	FreeResp				
690.3255549939349	15.13232612865977	the_machine_FreeResp	LemonadeCh.txt			
720.500404080376	11.665351625997571	Question1	Lemonade.txt	1.0	B	5.613363156793639
732.1659699135926	11.693043627077714	Question2	Lemonade.txt	1.0	A	5.643492551986128
743.8592072213069	11.781167902983723	Question3	Lemonade.txt	1.0	C	4.717955237720162
755.6406108515803	11.674030828056855	Question4	Lemonade.txt	1.0	A	5.617194387828931
782.4577784885187	10.023763433098791	the_machine_Rating	LemonadeCh.txt	1.0	6	3.999698057072237
792.4826308360789	10.032091692788526	the_machine_ID	LemonadeCh.txt	1.0	2	4.3913364910986274
867.8722798242234	10.032319474034011	happy_Rating	Lemonade.txt	1.0	5	1.5083969582337886
837.7898596860468	10.02366742049344	surprised_Rating	Lemonade.txt	1.0	5	4.0995633418206125
817.7316068955697	10.0323621830903	angry_Rating	Lemonade.txt	1.0	1	3.749869803665206
827.7648755693808	10.024027633015066	tense_Rating	Lemonade.txt	1.0	4	4.283194926334545
847.8145984739531	10.03214863804169	sad_Rating	Lemonade.txt	1.0	1	3.0915330520365387
857.8485349314287	10.022841712925583	frustrated_Rating	Lemonade.txt	1.0	2	2.374771018512547
877.9067052835599	20.10571509646252	Arousal_Rating	Lemonade.txt	1.0	2	7.349662747699767
898.0133331611287	20.065256408182904	Valence_Rating	Lemonade.txt	1.0	6	7.8413776939269155
918.0792729137464	10.015709967818111	Engagement_Rating	Lemonade.txt	1.0	7	2.674726422177628
